Penalizer,Mean CV C-index,SD CV C-index
0.001,0.61401,0.04617
0.01,0.65061,0.05238
0.05,0.60169,0.03037
0.1,0.59391,0.06931
0.5,0.63421,0.05919
1.0,0.63111,0.07623
