Variable,HR,HR_lower_95,HR_upper_95,p
number,1.28723,1.14628,1.44551,2e-05
size,1.06069,0.90809,1.23895,0.45721
treatment_label_Pyridoxine,0.71085,0.38966,1.29679,0.26585
treatment_label_Thiotepa,0.57634,0.3132,1.06058,0.07657
