Risk group,N,Mean predicted risk,Observed KM risk,Absolute calibration error
0,11,0.3873,0.25,0.1373
1,7,0.5356,0.619,0.0834
2,9,0.6044,0.5833,0.0211
3,9,0.6705,0.7778,0.1073
