Variable,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
number,0.12269,1.13054,0.04179,0.04079,0.2046,1.04163,1.22703,0.0,2.93599,0.00332,8.23251
size,-0.05059,0.95066,0.05242,-0.15333,0.05215,0.85784,1.05353,0.0,-0.96518,0.33446,1.58011
treatment_label_Thiotepa,-0.30257,0.73892,0.15421,-0.60482,-0.00032,0.54617,0.99968,0.0,-1.96205,0.04976,4.32898
