Variable,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
number,0.25249,1.28723,0.05917,0.13652,0.36846,1.14628,1.44551,0.0,4.26729,2e-05,15.62514
size,0.05892,1.06069,0.07926,-0.09642,0.21426,0.90809,1.23895,0.0,0.74344,0.45721,1.12906
treatment_label_Pyridoxine,-0.3413,0.71085,0.30674,-0.94249,0.25989,0.38966,1.29679,0.0,-1.11268,0.26585,1.91133
treatment_label_Thiotepa,-0.55105,0.57634,0.31116,-1.16092,0.05882,0.3132,1.06058,0.0,-1.77094,0.07657,3.70706
