Model,Fitted,AIC,Log-likelihood,Median recurrence-free time,Error message
Generalized gamma,Yes,528.5947,-261.2974,19.2993,
Log-normal,Yes,544.7691,-270.3845,21.152,
Log-logistic,Yes,550.6276,-273.3138,20.433,
Weibull,Yes,558.2508,-277.1254,23.7889,
Exponential,Yes,568.0008,-283.0004,24.4837,
